firms,clusters,mom1
65832,0,0.1030025020850708
66413,7,-0.1483321504613201
21020,4,0.0440074906367042
11499,3,-0.0625
62500,3,0.1677976557680442
81912,5,0.1341346153846152
27991,6,0.0023952095808383
20482,5,0.0136363636363636
10656,9,0.0935742000609878
10123,10,0.067724222086638
11647,8,-0.0355329949238578
60038,10,0.2580645161290322
85084,4,0.1410256410256409
79678,3,0.0466800804828972
10779,0,-0.0869565217391303
61487,8,0.0803324099722992
85164,5,0.5414364640883977
61241,8,0.1696165191740413
28222,5,0.0260279965004373
11368,5,0.032258064516129
51721,0,0.1042442293373044
11456,0,-0.1
28804,9,0.0157068062827225
11587,7,0.1109489051094889
42083,3,0.0280330882352941
48514,3,0.0904850746268655
11691,6,0.1101871101871101
71271,0,0.0088593525298465
10137,10,0.0393113342898134
44740,9,-0.03954802259887
11851,8,-0.0285803529595501
10145,8,0.0205190102595052
41443,5,-0.0514751075599262
12002,6,-0.0330218068535824
45911,0,-0.0916666666666666
68814,2,-0.0229885057471264
24643,0,-0.0790155440414508
84260,4,0.2454545454545453
28484,10,0.0757314974182443
80778,2,0.346153846153846
39482,9,0.1295999999999999
10225,5,0.0081487140310669
12758,0,-0.0331491712707182
57904,8,-0.1036496350364963
15667,5,0.0209650582362728
66800,0,-0.0364077669902912
10488,7,0.5329125338142471
13304,8,0.1816993464052285
85404,7,-0.2285714285714285
13470,5,0.2008368200836821
13603,0,0.0787172011661807
58560,7,0.1187845303867403
13769,3,-0.0289389067524115
81285,5,0.0744881889763779
69200,10,0.0383838383838381
10401,4,0.0371640937678674
11144,3,0.0705882352941176
23544,3,0.0121212121212122
85257,5,0.105372616984402
14008,5,-0.1503838627126299
14059,4,0.0416666666666667
18075,8,0.1659436008676789
62770,8,0.0316593886462881
14219,4,0.1162162162162161
14227,0,0.0580329871716553
87119,10,0.375
29073,2,0.2318840579710146
14323,5,0.0418848167539267
83112,6,0.015228426395939
29102,3,0.0898412698412698
59184,8,0.0489559164733177
77828,10,0.1818181818181818
29145,9,-0.1365269461077843
39490,5,0.0845836051315502
14593,0,0.028169014084507
10516,5,-0.0675763482781027
14868,3,0.062335081045886
77595,3,0.1801801801801801
19692,2,0.3861788617886179
29209,5,0.0864825581395347
24272,6,0.08042203985932
15457,5,-0.1583643122676579
15553,6,0.0741950536630891
15721,6,0.0856697819314642
69542,3,-0.0818713450292397
44644,6,0.0620266858997475
15991,4,0.0108910891089109
16030,6,0.0025531914893617
44601,6,0.0472397184142274
80073,8,0.446360153256705
27684,0,0.0724210526315789
40416,10,-0.0259740259740259
65496,4,-0.2771929824561403
53110,8,0.0432558139534884
85754,7,-0.0860215053763441
62797,8,0.0134907251264755
52484,3,0.1176470588235294
75034,10,0.1061571125265392
10318,3,0.081012658227848
58755,6,0.0185185185185183
57568,3,0.0318155283129013
16468,9,0.0935137753379617
24221,8,0.1178947368421052
65138,9,0.0430021367521367
16505,9,0.0143006627136377
16548,5,0.0273809523809525
55781,6,0.1212903225806452
49656,9,0.039755351681957
16791,2,-0.089108910891089
29532,2,-0.1238670694864049
16890,6,0.025712300208478
46877,3,0.0225110970196575
39693,6,0.1004587155963301
85842,4,-0.0444444444444445
47423,10,0.2983539094650205
26518,8,0.1326315789473682
27887,0,0.0313461538461539
29612,6,0.0185690879300928
39642,6,-0.0212577502214348
17444,8,0.1654501216545012
65875,8,0.0097872340425531
29639,4,-0.0136363636363637
65883,8,-0.0090909090909091
65509,9,0.0486577181208054
43772,5,-0.0216829122737219
11510,0,0.2808510638297872
10786,2,0.2162162162162162
61508,3,0.0491803278688525
18033,10,-0.0178997613365156
20220,9,0.0186285097192224
61946,10,0.1004878048780488
62519,10,0.2350894632206759
65154,2,-0.1301939058171745
19561,9,0.1048433048433048
42024,6,0.061485642946317
18650,8,0.0222222222222221
52230,10,-0.0092764378478664
66130,6,-0.0081097941359949
11901,7,-0.1234042553191488
39757,7,0.0441426146010188
47642,9,-0.013107170393215
17961,9,0.1056447436561369
86079,7,-0.0363636363636362
19393,8,-0.0513392857142857
19546,5,0.1542735042735044
10874,9,0.1045685279187818
55597,8,0.2275862068965517
19722,8,-0.0516129032258064
50227,9,-0.0266120777891504
19880,2,0.275229357798165
10890,8,0.0537815126050418
19933,7,-0.1621621621621621
67432,8,-0.095
19992,6,0.0544347164065472
79732,2,0.0333333333333334
20117,8,0.3521671826625385
20125,1,0.5114107883817427
45655,9,0.0832383124287343
67838,5,0.0926122304701309
47626,8,0.0417857142857143
20299,9,0.2316666666666667
20336,4,-0.01375
62148,10,-0.0628342245989305
28564,4,0.06
20459,8,0.1255813953488371
46690,5,-0.0167997796750206
20504,10,0.1193027490075515
20512,7,-0.4662025145329187
20571,9,0.0749999999999999
56602,4,-0.0882352941176469
20678,7,-0.1331145149525894
20750,9,-0.0283018867924528
85073,2,0.3295880149812733
84837,10,-0.1308108108108109
21371,10,-0.0535714285714284
27334,9,0.1019070321811679
23114,10,0.086369119420989
86423,2,-0.35
20618,9,0.0353947880202256
56952,5,0.0915841584158416
30402,8,-0.2054263565891474
40707,10,0.1392781316348195
18542,6,0.1018557570645297
53831,3,0.2633325957070149
22032,6,0.0469848316685164
22437,6,0.0349999999999999
64557,8,0.0963073852295408
63503,5,-0.0170688640376691
60599,9,-0.029585798816568
22374,3,0.0339923849717875
22518,7,-0.0365448504983387
22569,9,-0.0252261306532662
41419,7,0.019884009942005
77854,7,-0.3981042654028437
22913,3,0.2851063829787232
22921,6,0.2677388836329233
64194,9,0.0935483870967741
21960,6,-0.0337039610840862
23182,6,0.0476190476190476
14541,10,0.0541112810257615
30509,9,0.0135135135135135
23297,5,0.0628571428571429
23318,3,0.0101382488479264
23393,10,0.0125475285171101
79026,6,0.2886023004531195
47677,4,-0.0021008403361344
22680,8,0.1317108088761631
23537,4,-0.0476190476190476
86685,6,0.0249376558603493
23916,5,0.0757749712973594
66878,5,0.2042253521126762
24046,8,0.0894500320992939
27422,8,0.0821998817267888
80703,4,0.2522231204527083
24097,7,-0.0166414523449319
46578,9,0.0007591093117407
56741,8,0.1822660098522166
24193,2,0.0612244897959184
11995,8,0.0204851752021562
11308,0,0.0040459965928449
24441,2,0.0958904109589042
64901,4,0.043956043956044
24476,10,0.0137704918032788
30648,9,0.0356581017304666
18729,0,-0.0104523646333104
11997,9,-0.0526315789473684
25073,2,-0.175
25081,9,0.1156542056074765
25129,9,0.0331213566507684
10195,5,-0.0097826086956522
25452,8,0.0927536231884058
25989,5,0.1613144137415982
25487,10,0.1508215962441315
30744,7,0.2393767705382437
25778,9,0.0366696723775172
25786,4,-0.0651648351648351
26009,4,0.1784810126582279
40125,0,0.0279118572927596
26084,4,0.2960526315789473
86925,1,-0.134453781512605
26252,4,0.0388349514563106
26279,9,-0.0459016393442621
79618,4,-0.0705882352941176
26332,3,0.0941255006675567
26463,9,0.0474672334396033
11404,6,0.0450543759709995
41929,8,0.3193079040503341
26607,10,0.0366197183098591
26650,10,0.0
23229,8,0.0434216239687363
