firms,clusters,mom1
54594,0,0.0521373857178155
14526,0,-0.0520764667106129
11581,36,-0.0828282828282828
15203,20,-0.1186440677966101
16126,34,-0.1021978021978021
17137,0,-0.0515463917525773
20670,0,-0.0441176470588235
64899,0,0.0008461774656072
23660,0,0.0131196200653014
82542,0,-0.0743213173119714
30680,0,0.0108153078202994
56274,36,-0.0492105263157893
31668,18,-0.110151724137931
47511,0,-0.0201005025125627
60628,0,-0.0612237480484704
37875,0,-0.0281581485053037
17144,0,-0.1357497008035562
41452,0,-0.0332796564680623
84226,0,-0.0301724137931034
64020,20,-0.0849673202614379
52090,0,-0.0182954858876528
53613,0,0.1164226898444649
54114,0,-0.1135802469135802
57665,31,-0.0174435649369686
35107,0,-0.0699453551912568
61621,0,-0.0457142857142858
51692,35,-0.0662650602409637
64742,0,-0.0809248554913295
65307,0,-0.046551724137931
66852,0,-0.0098643649815043
46922,12,-0.0963302752293578
77354,0,-0.0523165018219679
69199,0,0.1243589743589743
38850,18,-0.0316885468537799
44951,18,-0.1016414141414141
74500,0,-0.1111111111111111
74740,4,-0.0565068493150685
65306,0,-0.0604960677555959
81294,0,0.0076767676767677
19502,0,-0.0846399149614669
81614,63,-0.0613718411552346
51086,0,-0.0418041804180419
83601,0,-0.0538922155688621
21785,42,-0.0016129032258064
10044,0,-0.0153349475383374
10104,0,-0.0178329133553014
75510,0,0.0469063399532609
70092,0,-0.1196065989847715
75033,42,-0.0924369747899159
12211,0,-0.0086313193588162
80297,0,0.2522522522522521
75976,0,-0.0128748094189394
77488,0,-0.063157894736842
76568,0,-0.0278637770897832
76752,0,-0.0594019666867349
77637,0,-0.1006944444444445
79094,0,0.0652772316162013
87055,0,-0.0203726073792784
79866,0,-0.0058479532163743
80719,0,0.032901296111665
81655,0,-0.0381846635367761
82777,0,-0.0681721346399658
83148,0,-0.0114068441064638
83597,0,0.0124071453485474
20598,0,0.0011750881316099
89508,0,-0.1324085750315259
85040,0,-0.0371517027863775
85982,0,-0.0199460916442049
85272,63,-0.1192307692307692
85394,0,-0.0757042253521127
85796,0,-0.1221864951768488
87184,52,0.1219362916730095
87214,0,-0.0818181818181819
88841,0,-0.0489296636085627
89216,0,-0.0767935767935766
89900,0,0.0074961297156359
93399,12,-0.0427350427350425
12488,7,0.0121951219512197
90179,0,-0.064330844342332
47730,0,-0.0754667367867474
13777,0,-0.0071827613727054
38746,0,0.0
60871,0,-0.0188289072703524
14702,0,0.0738392690658213
15537,22,-0.0037037037037037
68830,31,-0.0113900796080833
85914,0,-0.0084861757459623
49373,0,-0.0455915599095705
18973,0,-0.0222222222222222
19271,0,0.1781809370930125
29938,0,-0.0144927536231883
10866,0,-0.0549932523616734
25320,0,-0.075187969924812
21742,0,-0.0726612170753859
11267,12,-0.0437710437710439
86474,63,0.0
22825,0,0.048499053457135
26201,63,0.0217290799815073
65541,0,-0.0578329995504147
27562,0,-0.115480451042611
27909,0,-0.1257861635220125
49154,0,0.0025259239563946
19350,52,-0.0333493570484315
49429,63,0.207075192421551
61313,0,-0.0631662060797472
30737,12,0.0509259259259258
31500,0,-0.0842560553633218
33209,63,-0.139945652173913
77462,42,0.1333333333333333
62228,34,-0.0273684210526315
59010,0,-0.0499398315282793
21055,0,0.1276901004304158
83233,0,-0.0262178619756426
32678,0,0.0657370517928286
27828,0,0.0030017152658661
66181,0,-0.0927326576770859
32870,34,-0.0544713078939702
42922,0,-0.0730897009966776
12503,0,-0.1856862317259436
89757,12,-0.0583657587548638
47571,0,0.0329861111111111
16678,42,-0.1067193675889327
48291,0,0.0020040080160319
64282,0,-0.0151726891595129
27617,4,-0.0026246719160105
60097,0,-0.0698567935731749
53197,0,-0.0342717258261933
57809,0,-0.0671443779571389
57817,31,0.0405597241938755
79611,0,0.0130718954248365
59185,0,-0.0727693494471586
34948,0,0.0142131979695432
13936,0,-0.0696414753675522
64785,22,-0.0837155963302751
62033,0,-0.1193255512321659
91556,0,-0.0521907998543512
50948,0,-0.0600558659217876
42585,0,-0.0046496965875956
76081,0,-0.0560515147080344
60580,0,-0.0316831683168317
80179,0,-0.0338013520540823
80857,0,0.0093696763202724
59627,0,-0.0425531914893617
81190,0,-0.0689655172413792
55976,0,-0.1556285178236397
82924,28,0.0134069400630914
83011,22,0.0103455006831933
15456,0,-0.0659206510681587
40539,0,0.0293824701195219
10182,0,0.0306173332003591
10259,20,0.0619469026548671
10501,0,-0.0548400401295516
70228,0,-0.0590382138256763
77420,12,0.0060422960725075
10514,35,-0.0571428571428571
10645,0,-0.0673758865248226
13656,12,-0.1428571428571429
71837,0,0.0416570216942435
11154,0,-0.0714285714285715
11343,0,-0.0295508274231678
11379,0,-0.0576923076923077
